year, mo,    data-type, region, extent,   area
1979,  4,      Goddard,      N,  15.45,  12.53
1980,  4,      Goddard,      N,  15.43,  12.52
1981,  4,      Goddard,      N,  15.01,  12.24
1982,  4,      Goddard,      N,  15.47,  12.63
1983,  4,      Goddard,      N,  15.17,  12.21
1984,  4,      Goddard,      N,  15.01,  12.18
1985,  4,      Goddard,      N,  15.36,  12.54
1986,  4,      Goddard,      N,  15.06,  12.04
1987,  4,      Goddard,      N,  15.21,  12.35
1988,  4,      Goddard,      N,  15.12,  13.18
1989,  4,      Goddard,      N,  14.33,  12.36
1990,  4,      Goddard,      N,  14.65,  12.28
1991,  4,      Goddard,      N,  14.86,  12.87
1992,  4,      Goddard,      N,  14.68,  12.84
1993,  4,      Goddard,      N,  15.08,  13.03
1994,  4,      Goddard,      N,  14.89,  12.91
1995,  4,      Goddard,      N,  14.45,  12.40
1996,  4,      Goddard,      N,  14.22,  12.32
1997,  4,      Goddard,      N,  14.56,  12.57
1998,  4,      Goddard,      N,  14.89,  12.85
1999,  4,      Goddard,      N,  15.08,  13.15
2000,  4,      Goddard,      N,  14.56,  12.60
2001,  4,      Goddard,      N,  14.86,  13.05
2002,  4,      Goddard,      N,  14.30,  12.41
2003,  4,      Goddard,      N,  14.51,  12.46
2004,  4,      Goddard,      N,  13.99,  12.16
2005,  4,      Goddard,      N,  14.09,  12.23
2006,  4,      Goddard,      N,  13.91,  12.04
2007,  4,      Goddard,      N,  13.85,  11.83
2008,  4,      Goddard,      N,  14.35,  12.78
2009,  4,      Goddard,      N,  14.50,  12.92
2010,  4,      Goddard,      N,  14.66,  12.85
2011,  4,      Goddard,      N,  14.11,  12.45
2012,  4,      Goddard,      N,  14.63,  12.87
2013,  4,      Goddard,      N,  14.30,  12.75
2014,  4,      Goddard,      N,  14.09,  12.43
2015,  4,      Goddard,      N,  13.89,  12.33
2016,  4,      Goddard,      N,  13.68,  11.98
2017,  4,      Goddard,      N,  13.75,  12.26
2018,  4,      Goddard,      N,  13.70,  12.28
2019,  4,      Goddard,      N,  13.43,  11.90
2020,  4,      Goddard,      N,  13.62,  12.02
2021,  4,      Goddard,      N,  13.79,  12.18
2022,  4,      NRTSI-G,      N,  14.04,  12.42
