year, mo,    data-type, region, extent,   area
1979,  3,      Goddard,      N,  16.34,  13.21
1980,  3,      Goddard,      N,  16.04,  12.99
1981,  3,      Goddard,      N,  15.63,  12.71
1982,  3,      Goddard,      N,  16.04,  13.07
1983,  3,      Goddard,      N,  16.09,  12.93
1984,  3,      Goddard,      N,  15.58,  12.55
1985,  3,      Goddard,      N,  15.89,  12.75
1986,  3,      Goddard,      N,  15.91,  12.72
1987,  3,      Goddard,      N,  15.82,  12.83
1988,  3,      Goddard,      N,  15.96,  13.90
1989,  3,      Goddard,      N,  15.42,  13.21
1990,  3,      Goddard,      N,  15.87,  13.51
1991,  3,      Goddard,      N,  15.42,  13.42
1992,  3,      Goddard,      N,  15.48,  13.48
1993,  3,      Goddard,      N,  15.81,  13.77
1994,  3,      Goddard,      N,  15.55,  13.55
1995,  3,      Goddard,      N,  15.26,  13.34
1996,  3,      Goddard,      N,  15.12,  12.90
1997,  3,      Goddard,      N,  15.47,  13.30
1998,  3,      Goddard,      N,  15.60,  13.57
1999,  3,      Goddard,      N,  15.40,  13.54
2000,  3,      Goddard,      N,  15.22,  13.17
2001,  3,      Goddard,      N,  15.52,  13.64
2002,  3,      Goddard,      N,  15.35,  13.42
2003,  3,      Goddard,      N,  15.48,  13.42
2004,  3,      Goddard,      N,  14.99,  12.99
2005,  3,      Goddard,      N,  14.69,  12.74
2006,  3,      Goddard,      N,  14.42,  12.52
2007,  3,      Goddard,      N,  14.54,  12.56
2008,  3,      Goddard,      N,  15.18,  13.53
2009,  3,      Goddard,      N,  14.98,  13.43
2010,  3,      Goddard,      N,  15.14,  13.53
2011,  3,      Goddard,      N,  14.55,  12.83
2012,  3,      Goddard,      N,  15.20,  13.41
2013,  3,      Goddard,      N,  15.03,  13.45
2014,  3,      Goddard,      N,  14.76,  12.95
2015,  3,      Goddard,      N,  14.37,  12.78
2016,  3,      Goddard,      N,  14.40,  12.61
2017,  3,      Goddard,      N,  14.29,  12.61
2018,  3,      Goddard,      N,  14.30,  12.69
2019,  3,      Goddard,      N,  14.57,  12.89
2020,  3,      Goddard,      N,  14.73,  13.03
2021,  3,      Goddard,      N,  14.66,  12.99
2022,  3,      NRTSI-G,      N,  14.59,  12.73
