year, mo,    data-type, region, extent,   area
1979,  8,      Goddard,      N,   8.04,   5.06
1980,  8,      Goddard,      N,   7.98,   4.94
1981,  8,      Goddard,      N,   7.84,   4.48
1982,  8,      Goddard,      N,   8.14,   5.00
1983,  8,      Goddard,      N,   8.19,   4.97
1984,  8,      Goddard,      N,   7.77,   4.68
1985,  8,      Goddard,      N,   7.40,   4.60
1986,  8,      Goddard,      N,   7.98,   5.01
1987,  8,      Goddard,      N,   7.63,  -9999
1988,  8,      Goddard,      N,   7.89,   5.42
1989,  8,      Goddard,      N,   7.88,   5.56
1990,  8,      Goddard,      N,   6.80,   4.99
1991,  8,      Goddard,      N,   7.42,   5.21
1992,  8,      Goddard,      N,   7.93,   5.44
1993,  8,      Goddard,      N,   7.33,   4.76
1994,  8,      Goddard,      N,   7.64,   5.19
1995,  8,      Goddard,      N,   6.74,   4.69
1996,  8,      Goddard,      N,   8.18,   5.73
1997,  8,      Goddard,      N,   7.29,   5.09
1998,  8,      Goddard,      N,   7.51,   4.69
1999,  8,      Goddard,      N,   7.23,   4.75
2000,  8,      Goddard,      N,   7.17,   4.78
2001,  8,      Goddard,      N,   7.46,   4.94
2002,  8,      Goddard,      N,   6.60,   4.32
2003,  8,      Goddard,      N,   6.94,   4.52
2004,  8,      Goddard,      N,   6.85,   4.67
2005,  8,      Goddard,      N,   6.30,   4.21
2006,  8,      Goddard,      N,   6.50,   4.31
2007,  8,      Goddard,      N,   5.34,   3.19
2008,  8,      Goddard,      N,   5.91,   3.79
2009,  8,      Goddard,      N,   6.14,   4.16
2010,  8,      Goddard,      N,   5.87,   3.88
2011,  8,      Goddard,      N,   5.50,   3.38
2012,  8,      Goddard,      N,   4.72,   2.93
2013,  8,      Goddard,      N,   6.01,   4.17
2014,  8,      Goddard,      N,   6.08,   4.37
2015,  8,      Goddard,      N,   5.60,   3.63
2016,  8,      Goddard,      N,   5.37,   3.31
2017,  8,      Goddard,      N,   5.48,   3.64
2018,  8,      Goddard,      N,   5.61,   3.90
2019,  8,      Goddard,      N,   5.03,   3.24
2020,  8,      Goddard,      N,   5.07,   3.10
2021,  8,      Goddard,      N,   5.71,   3.78
2022,  8,      NRTSI-G,      N,   5.99,   4.02
