year, mo,    data-type, region, extent,   area
1979, 10,      Goddard,      N,   8.75,   6.19
1980, 10,      Goddard,      N,   9.18,   6.50
1981, 10,      Goddard,      N,   8.86,   6.27
1982, 10,      Goddard,      N,   9.42,   6.67
1983, 10,      Goddard,      N,   9.33,   6.79
1984, 10,      Goddard,      N,   8.56,   5.91
1985, 10,      Goddard,      N,   8.55,   6.12
1986, 10,      Goddard,      N,   9.48,   6.83
1987, 10,      Goddard,      N,   9.05,   7.49
1988, 10,      Goddard,      N,   9.13,   7.52
1989, 10,      Goddard,      N,   8.83,   6.96
1990, 10,      Goddard,      N,   8.48,   6.74
1991, 10,      Goddard,      N,   8.54,   6.75
1992, 10,      Goddard,      N,   9.32,   7.74
1993, 10,      Goddard,      N,   8.79,   7.06
1994, 10,      Goddard,      N,   8.92,   7.23
1995, 10,      Goddard,      N,   7.83,   5.99
1996, 10,      Goddard,      N,   9.16,   7.54
1997, 10,      Goddard,      N,   8.34,   6.47
1998, 10,      Goddard,      N,   8.45,   6.71
1999, 10,      Goddard,      N,   8.60,   6.83
2000, 10,      Goddard,      N,   8.38,   6.69
2001, 10,      Goddard,      N,   8.30,   6.65
2002, 10,      Goddard,      N,   8.16,   6.24
2003, 10,      Goddard,      N,   7.85,   5.98
2004, 10,      Goddard,      N,   7.93,   6.40
2005, 10,      Goddard,      N,   7.35,   5.78
2006, 10,      Goddard,      N,   7.54,   5.80
2007, 10,      Goddard,      N,   6.04,   4.33
2008, 10,      Goddard,      N,   7.35,   5.77
2009, 10,      Goddard,      N,   6.92,   5.24
2010, 10,      Goddard,      N,   6.98,   5.48
2011, 10,      Goddard,      N,   6.46,   5.02
2012, 10,      Goddard,      N,   5.89,   4.58
2013, 10,      Goddard,      N,   7.45,   5.95
2014, 10,      Goddard,      N,   7.23,   5.70
2015, 10,      Goddard,      N,   6.97,   5.49
2016, 10,      Goddard,      N,   6.08,   4.40
2017, 10,      Goddard,      N,   6.77,   5.30
2018, 10,      Goddard,      N,   6.13,   4.59
2019, 10,      Goddard,      N,   5.73,   4.53
2020, 10,      Goddard,      N,   5.33,   4.11
2021, 10,      Goddard,      N,   6.82,   5.43
2022, 10,      NRTSI-G,      N,   6.61,   5.23
